Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo
Turbay and Gorilla,Pedro Bromfman,latin soundtrack,0.0592,0.224,0.233,0.0364,-20.771,0.889,0.0365,0.359,101.927
Pablo Grieves,Pedro Bromfman,latin soundtrack,0.131,0.545,0.205,0.0374,-18.794,0.92,0.0386,0.232,105.442
Cat Killers,Pedro Bromfman,latin soundtrack,0.103,0.000317,0.265,0.0318,-17.929,0.914,0.0458,0.119,92.941
Mcpickle,Pedro Bromfman,latin soundtrack,0.182,0.55,0.194,0.0661,-20.045,0.789,0.0405,0.0998,76.277
This Is Home,Pedro Bromfman,latin soundtrack,0.228,0.816,0.268,0.0358,-18.835,0.916,0.0343,0.103,129.586
Close To Me,The Cure,"new wave,permanent wave,rock,uk post-punk",0.684,0.139,0.656,0.962,-6.404,0.0972,0.0609,0.348,184.904
Mint Car,The Cure,"new wave,permanent wave,rock,uk post-punk",0.948,0.0697,0.601,0.75,-3.246,0,0.0606,0.388,143.794
Wrong Number,The Cure,"new wave,permanent wave,rock,uk post-punk",0.965,0.0261,0.555,0.49,-3.843,0.00229,0.0435,0.154,120.084
Boys Don't Cry,The Cure,"new wave,permanent wave,rock,uk post-punk",0.841,0.00511,0.463,0.652,-5.979,0,0.0641,0.111,169.491
A Forest,The Cure,"new wave,permanent wave,rock,uk post-punk",0.65,0.444,0.668,0.862,-9.001,0.618,0.041,0.0963,81.198
Let's Go To Bed,The Cure,"new wave,permanent wave,rock,uk post-punk",0.926,0.382,0.782,0.688,-3.816,0.14,0.0663,0.292,128.058
The Lovecats,The Cure,"new wave,permanent wave,rock,uk post-punk",0.818,0.517,0.739,0.962,-4.754,0,0.0804,0.373,91.866
The Caterpillar,The Cure,"new wave,permanent wave,rock,uk post-punk",0.817,0.506,0.737,0.791,-7.355,0.0223,0.0495,0.5,123.787
Inbetween Days,The Cure,"new wave,permanent wave,rock,uk post-punk",0.914,0.044,0.536,0.74,-3.372,0.00972,0.0365,0.208,142.496
Why Can't I Be You?,The Cure,"new wave,permanent wave,rock,uk post-punk",0.969,0.245,0.615,0.674,-3.124,4.96e-06,0.053,0.0678,107.628
Just Like Heaven,The Cure,"new wave,permanent wave,rock,uk post-punk",0.971,0.0183,0.438,0.793,-3.441,6.96e-05,0.0466,0.211,151.088
Lullaby,The Cure,"new wave,permanent wave,rock,uk post-punk",0.675,0.00791,0.72,0.557,-4.437,0.409,0.0471,0.0518,93.925
Lovesong,The Cure,"new wave,permanent wave,rock,uk post-punk",0.868,0.364,0.588,0.736,-4.346,0.261,0.0287,0.157,139.966
Pictures Of You,The Cure,"new wave,permanent wave,rock,uk post-punk",0.796,0.00141,0.46,0.558,-4.324,0.0284,0.0341,0.0991,172.414
Never Enough,The Cure,"new wave,permanent wave,rock,uk post-punk",0.987,0.0635,0.507,0.507,-3.874,0.0135,0.121,0.336,100.466
High,The Cure,"new wave,permanent wave,rock,uk post-punk",0.942,0.00907,0.563,0.767,-4.603,0.000269,0.0331,0.0708,113.901
Friday I'm In Love,The Cure,"new wave,permanent wave,rock,uk post-punk",0.946,0.000945,0.549,0.477,-4.265,0.00207,0.0377,0.368,135.959
